ids,screen_name,followers,retweet,inreplyto, favorite,friends, listed, location,text
63065243,OsborneInk,7163,111,,0,5572,346,"Freedom Hills, AL",RT @selmekki: Ive met tons of teachers over the years who are woke AF and cant teach a lick. Please dont use revolutionary rhetoric to m
9.07816E+17,pamwgriffin5,19,2622,,0,145,0,,"RT @DrEricDing: POWERFULthis is still my favorite public health video. 

It was made months ago by Ohio Dept of Health, before airborne a"
26444688,samdobermann,219,0,,0,722,4,"ABQ, NM",If doctors have to choose who to treat can they ask who didnt travel &amp; who wore a mask &amp; treat them first? Choices https://t.co/0CdEuEkJVk
1.2777E+18,see_mask,0,0,JesseBWatters,0,24,0,,"@JesseBWatters good time to read up on l ega l proceed ings re: K rac ken
http: backslash/www dot DefendingTheRepublic dot Org"
229628719,ACNMtell,106,9260,,0,2023,25,,"RT @Oobahs: Tried my new mask argument with a taxi driver. Wasn't wearing one &amp; was angry about mine. 'I like the anonymity,' I said. Wer"
17089515,Cathyfc2008,110,446,,0,430,2,Pittsburgh sometimes,"RT @DearAuntCrabby: Pro Tip: God will not protect you from the Coronavirus. 

When you pray, pray for God to give you the wisdom to wear a"
2632569087,BiggestChuck,183,9260,,0,773,3,"Kentucky, USA","RT @Oobahs: Tried my new mask argument with a taxi driver. Wasn't wearing one &amp; was angry about mine. 'I like the anonymity,' I said. Wer"
1.17472E+18,thecompostkid,52,9260,,0,166,0,,"RT @Oobahs: Tried my new mask argument with a taxi driver. Wasn't wearing one &amp; was angry about mine. 'I like the anonymity,' I said. Wer"
443353984,tabula_x_rasa,146,0,,2,244,5,Go West until you get East,Btw after dinner yesterday I did go home and rewatch the first 2 eps of #YOI and I almost yelled at Yuri to pull hi https://t.co/mJru7yFmmP
48515566,AmberStoneheart,3305,4,,0,475,17,California,RT @Sampai: Happy Thanksgiving to everyone except the covidiots who refuse to wear a mask. 
1.31106E+18,Pastel_vibes124,6,0,TheParodySanta,1,37,0,,"@TheParodySanta @JakeRyanTweet Its the Karen's,they don't wear mask &gt;:("
1.32676E+18,MatterDisabled,50,0,JBanghart,1,167,0,,@JBanghart @ArnallLabrador @RodneyTori I was born with cerebral palsy so technically my lungs are under developed a https://t.co/UZMYGso5sw
15112849,buttgrenade,304,3959,,0,696,6,Bloomington/Richmond,"RT @Boringstein: COVID has gotten this bad not because of people seeing families, not because of socializing, not even solely because of th"
242339687,arteletteratura,2657,1016,,0,3722,75,Italia,"RT @ChelseaClinton: We should look at Germanys example where schools and day care centers were deemed essential services, and allowed to"
2881035496,chrisrayclark,274,0,,0,257,2,"Waynesboro, MS",anyone else feel like a criminal when you put your hood on while wearing a mask
251011884,midnightsoph,1427,0,,1,1032,16,AUS,"feel like Im the only one wearing a mask apart from the workers at my local shops, so disappointing"
22932383,ironhorse43,129,0,NECN,0,535,3,"Fall River, MA",@NECN Somebody want to explain the concept of wearing a mask to this guy..
2153172240,MostlyUsesWords,131,634,,0,466,0,Nowhere Pleasant,RT @dnlrntr: wear a mask or awaken the old ones
47598371,cpcr_donny,358,0,Ambassador_Kong,0,220,8,"Chicago, IL",@Ambassador_Kong @Pdog119 @notstevenwhite @dnbrgr This is a bullshit talking point. Studies have shown that masks a https://t.co/q3NkWoRPWd
7.15544E+17,birding45,558,2,,0,4996,0,,RT @marymaskew: @sewsweetpink @jmugele I don't buy that. I have COPD &amp; I can wear a mask &amp; breathe comfortably.
1.02948E+18,Marion94862795,682,366,,0,1029,1,United Kingdom,RT @WeAreAPW: A customer in #Farmfoods is given a fixed penalty by police for not wearing a mask. The customer shows an #ExemptionCard but
1.16022E+18,shysdumplings,887,8,,4,1001,7,she/her - B - 🇮🇩,"gmorning carats! 
i hope yall stay healthy and hydrated  dont forget to wear a mask if u have to go out 

and st https://t.co/M8r2o26Tt7"
1.03824E+18,NotSchultzWolfe,48,0,NotSchultzWolfe,0,459,1,"New Orleans, LA",This dog is about to show you a mask exemption card from the Free To Breathe Agency
3398197930,Christiano_Sanc,308,1471,,0,442,0,"Austin, TX",RT @SenKamalaHarris: During the holidays its important we do everything we can to prevent COVID-19 from spreading. That means practicing s
2765057493,CloutCount,179,0,LisaHagan7,0,367,1,,"@LisaHagan7 @Gennaphyr I can go to church its my right, not king cuomo forcing me not to. Ill wear a mask.....don https://t.co/3eVPKZQr5U"
15556891,Voldenae,473,77,,0,872,9,The Northest of the Carolinas,"RT @astrotoya: Are you tired of people not wearing a mask or wearing it under their nose? 

yes            yes          yes 
"
1.29953E+18,chewypalette,440,0,hyopoesi,0,432,7,(he/him),"@hyopoesi do what we like, go hard, depend on you e behind the mask"
1.31211E+18,HolemanJune,202,747,,0,468,1,"New Orleans, LA",RT @donwinslow: Florida governor Ron DeSantis accused of killing spree after extending ban on cities from imposing own mask mandates http
120447963,ittatto23,2838,1784,,0,4989,101,"United Kingdom, England","RT @HamillHimself: HAPPY(socially-distanced, mask-wearing, stay-at-home, crowd-avoiding, visiting relatives &amp; friends on Zoom only, watchin"
8.42576E+17,Telesthesian,710,88,,0,898,20,New Jersey (The pit),"RT @GovMurphy: This Thanksgiving, let's spread gratitude  not #COVID19:
Keep gatherings small
Wash your hands
Mask up
Social distance"
8.46213E+17,nararouge,401,634,,0,746,5,Qing Jing Peak ,RT @dnlrntr: wear a mask or awaken the old ones
558223213,NickMartin14,2581,0,MysterySolvent,0,2757,52,Victoria,@MysterySolvent Obviously it's not a mask
1.08748E+18,Rwilson0883,37,0,Squad_Six_Mom,0,516,1,,@Squad_Six_Mom @myfox8 Fact is a mask isnt a law and shouldnt ever be. 99.9% survival rate and you think its a big issue!
1206600944,DCCajun,850,1,,0,5002,18,"Washington, DC/DMV 💥                                                       South Louisiana ⚜️ Planet Earth  🌎",Florida Governor Extends Ban On Cities Imposing Their Own Mask MandatesCritic Calls Move A Killing Spree https://t.co/rVKZMWBudV
1831079480,smaloney924,911,0,DrEricDing,1,1071,2,United States,"@DrEricDing @GovRonDeSantis Floridans, if you think your governor cares if you live or die, think again. You need t https://t.co/o0EB5DrDIh"
1.31185E+18,randomt12197063,16,0,thedailybeast,0,185,0,,"@thedailybeast He should concede. It shows growth. Then, he should cover his pie hole with a mask. Then he should s https://t.co/FAgbNTW8cX"
748143122,rankulus,122,634,,0,333,2,,RT @dnlrntr: wear a mask or awaken the old ones https://t.co/24u70kQ880
3073707262,TechGurl15,8,0,Real_Red_Rabbit,0,108,0,"Philadelphia, Pa","@Real_Red_Rabbit @DavidAdt1 @GabeSwaggart Well in my neck of the woods, they are wearing masks everywhere, even out https://t.co/npOZZTaXJ7"
3655498036,dubsky_,96,9260,,0,1208,2,,"RT @Oobahs: Tried my new mask argument with a taxi driver. Wasn't wearing one &amp; was angry about mine. 'I like the anonymity,' I said. Wer"
464326429,simplyjosiee,745,0,,1,459,1,"Plum, PA",Im thankful for the people that wear their mask over their nose
571036246,rmuehlbauer1966,57,0,301479341,0,232,0,,@0301479341 Even the docs are ignoring their own recommendations you can be pretty sure while not a hoax this virus https://t.co/FeFtak8ZLf
1.08341E+18,Starwat96241874,1250,55,,0,1324,4,"Denver, CO","RT @KPcolorado: Together you and your community have the power to take on COVID-19. Wear a mask, keep your distance and do your part to kee"
77238383,noreasontofear,231,145,,0,153,1,,"RT @ianmSC: A number of states have instituted mask mandates out of panic over the past few months, so I thought it would be interesting to"
7.15544E+17,birding45,558,1,,0,4996,0,,RT @BSumer6: @PShapMD @jmugele That is definitely a big part of it. And another part is that some people a low functioning and cannot manag
59494621,Ellenleigh3,4101,31,,0,3720,138,south east Michigan,RT @e_whittler: My Mother's best friend died of COVID in a nursing home recently. My first Cousin Josey is in the hospital in bad shape. WI
1.25273E+18,dmacleod44,56,2440,,0,1799,0,Canada,"RT @DrEricDing: Florida @GovRonDeSantis Extends Ban On Cities Imposing Their Own Mask MandatesCritic Calls Move A Killing Spree. 

I. Ha"
1.30414E+18,tailorized4u,10,1,,0,18,0,"London, England",RT @tailorized4u: Excited to share this item from my #etsy shop: Luxury Christmas Gift Adjustable Milano Satin Face Mask with Filter Pocket
617704705,tadhanastar,144,634,,0,211,0,sleepless (not) in seattle,RT @dnlrntr: wear a mask or awaken the old ones
36483042,Eli__Alexander,1250,9260,,0,354,3,,"RT @Oobahs: Tried my new mask argument with a taxi driver. Wasn't wearing one &amp; was angry about mine. 'I like the anonymity,' I said. Wer"
1.27986E+18,PattyMalley2,3,0,kaitlancollins,0,18,0,,@kaitlancollins Mask photo op
1.06747E+18,GwinnettNole,280,0,nsewanswers,0,1129,1,"Loganville, GA",@nsewanswers @WatchChad its ridiculous to talk about bullying the weakest person in a room bc of a mask. You do re https://t.co/eNX3FyF9SM
198355037,xxLissa13xx,224,3959,,0,440,4,,"RT @Boringstein: COVID has gotten this bad not because of people seeing families, not because of socializing, not even solely because of th"
2292647624,jdizzee31,494,3959,,0,470,0,in the stars.,"RT @Boringstein: COVID has gotten this bad not because of people seeing families, not because of socializing, not even solely because of th"
15061451,spoonyfork,30,0,,0,49,1,Detroit,Check out this moving duckbill face mask | Boing Boing https://t.co/jqhhO41YmJ
17442933,jouisel,91,634,,0,268,0,,RT @dnlrntr: wear a mask or awaken the old ones
1.26346E+18,vivienc41732492,446,62,,0,381,1,,"RT @dwnews: ""Prison bars never stop me from activism and thinking critically, even in such difficult times,"" said Hong Kong pro-democracy a"
2574409608,matchafinn,4182,0,,1,499,37,"AR, USA",seeing too many people i follow on my irl instagram eating out at restaurants or just sitting inside places no mask https://t.co/rtKrhAGJiZ
393178231,logicokopf,71,0,SurprisingFinds,0,345,1,,@SurprisingFinds @UtahCoronavirus Such an exquisite argument-cases have skyrocketed in EVER location mask mandates https://t.co/i3IXxCNK8B
1.03262E+18,FondaCharlotte,68,9260,,0,177,0,"North Carolina, USA","RT @Oobahs: Tried my new mask argument with a taxi driver. Wasn't wearing one &amp; was angry about mine. 'I like the anonymity,' I said. Wer"
61673772,JokerNote,52,229,,0,369,0,Argentina,"RT @sukinayuta: awww chenle who has gotten closer to yuta hyung made the mask necklace for yuta

chenle &amp; jisung's thoughts while crafting"
1.23281E+18,NienLeHuuNien,36,2,,0,1156,0,"Đồng Nai, Việt Nam","RT @HostileSettings: First 5 people to dm pay $15 for a nice store setup

Jerseys 
Hoodies or sweaters
Shorts or joggers 
Flags 
Mask 
Bean"
215148524,kaaazuuyaaaa,54,634,,0,1183,2,,RT @dnlrntr: wear a mask or awaken the old ones https://t.co/24u70kQ880
1.21981E+18,Battleriverbab1,281,4,,0,336,2,,"RT @SLysaHickman: @DrEricDing @GovRonDeSantis Florida, we can wear a mask without permission from DeSantis. We wear a mask for our childre"
1.27638E+18,YONCEARCTIC,1404,0,beesyonce,1,1230,14,s/h,@beesyonce were not talking abt the mask was wrong of her of course but she has stopped wearing it dw :)
1.26838E+18,BlmResists,217,2440,,0,660,0,,"RT @DrEricDing: Florida @GovRonDeSantis Extends Ban On Cities Imposing Their Own Mask MandatesCritic Calls Move A Killing Spree. 

I. Ha"
55311239,just_tracytracy,5475,0,,5,5327,3,the big 🍎,Tryptophan wears a mask.
37283708,Tresdavis3,472,87,,0,366,7,,"RT @NunoMVitoria: @carlheneghan In Portugal, 2015, due to Flu and cold, there was +5k excess deaths. That meant 580 deaths/M at the time. O"
301067187,katiee_megg,331,9260,,0,204,6,She/her,"RT @Oobahs: Tried my new mask argument with a taxi driver. Wasn't wearing one &amp; was angry about mine. 'I like the anonymity,' I said. Wer"
2161610648,Noobstoise,163,0,awsumsas,1,176,0,,"@awsumsas @NintendoAmerica I saw some friends that I hadn't seen all year, I wore a mask and social distanced, but https://t.co/y58d7SkTBP"
1.33071E+18,hnicoleyoung11,2,0,thevivafrei,0,24,0,Anywhere w/o muzzle orders.,"@thevivafrei @kaitlancollins ""Look at me! The gay nazis aoles who provide me w a paycheck are spreading this pictur https://t.co/CeYphDHIT3"
3240027813,maesiil,29,219,,0,99,0,its fine ill just die for food,"RT @nctdaoying: Chenle talking about the mask strap he made for Doyoung 

Chenle: Doyoung hyung is always kind of cool, so I wanted to gi"
201456527,Heathermiz1634,1008,522,,0,1262,0,Earth,RT @kimKBaltimore: So @GovLarryHogan is really taking police officers off patrol to enforce wearing a mask. Baltimore City has over 300 mur
365505314,MarionPass,1162,685,,0,1203,6,,RT @kylegriffin1: Wyoming's governor has resisted calls for a mask mandate. Now he has the coronavirus. https://t.co/cX1SiQWX2v
1.25087E+18,CanadianTwoKay,17,0,,0,30,0,,"10 Hard clues and 2 guthix pieces, plus got my black mask and imbued it (145kc) my iron is lowkey a spoon already https://t.co/r0pG4mygYG"
8.38321E+17,rogue_corq,1568,0,,0,1505,13,"Путин, забери домой дурака!",Wyomings Governor Contracts Coronavirus After Condemning Mask Mandates in Favor of Personal Responsibility https://t.co/uc3dLqeSWR
1.32545E+18,kaybowm06227959,4,0,kylegriffin1,1,22,0,,@kylegriffin1 @jonathanjewel Now maybe his family and friends will listen when it is said WEAR A MASK
186430387,kimmyann76,245,13,,0,1002,19,NB Canada,RT @ASD_West: Zone 3 Fredericton Region moves into Orange. Staff and students required to follow enhanced safety measures which limit activ
8.38206E+17,2Dwoods,299,0,3L3V3NTH,1,851,0,"47°75'N, 90°30'W ~ North of Ordinary, Left of Center","@3L3V3NTH Will he finish his term at his properties, wearing a duct tape mask, with Secret Service in towat taxpay https://t.co/RhschdevUj"
1.0476E+18,HawaiiAll,105,0,,0,108,2,Honolulu,Beautiful frosty blue leaves on this soft breathable mask. Double layers of soft cotton fabric with a built-in filt https://t.co/bolUjbBsqW
1.05046E+18,RedCrossAL,845,0,,0,342,17,"Birmingham, AL",Planning on starting your holiday shopping tomorrow? Remember COVID is still here and still very dangerous. If you https://t.co/tZxr2aExZy
23190183,SystemSafetyPro,534,446,,0,1122,7,USA,"RT @DearAuntCrabby: Pro Tip: God will not protect you from the Coronavirus. 

When you pray, pray for God to give you the wisdom to wear a"
8.08351E+17,McCosta4all,4,292,,0,179,0,"Navarre, FL",RT @DopeDyl: such a different thanksgiving this year... my heart is with all those who might have an empty chair at the table this year due
17650854,ipsnews,18744,0,,0,1242,1266,Also @ipsnoticias,We are far from having a political class able to face global issues - The attitude of nationalist leaders to https://t.co/RCwkJVOhmx
18736950,FCN2go,132825,1,,1,1241,1106,"Jacksonville, FL",Some tips that Dr. Browning says he has for the public for this thanksgiving is to wear a mask and wear rubber glov https://t.co/0CewUY0xeA
191673778,noitsnotmea,481,1325,,0,386,4,,"RT @DrTomFrieden: Eating inside a restaurant is not a good idea right now, even if tables are spaced six feet apart. Indoor space with poor"
139795202,RedCrossMiss,2534,0,,0,599,128,State of Mississippi,Planning on starting your holiday shopping tomorrow? Remember COVID is still here and still very dangerous. If you https://t.co/Hu3m8Fqfy8
378227793,annielynnmnwi,363,0,,0,565,15,"Madison, WI",Chin Up Honey! Pumpkin Pie is delicious and your mask will look super cute with this hat.  Now available in my https://t.co/IHLB2Sw01u
1.15891E+18,havenocaresnomo,86,0,HaMeturgeman,0,358,0,,@HaMeturgeman @RonColeman Resting Bitch Face hides her face in a mask.
8.25956E+17,ParuchGretchen,1538,685,,0,1845,5,AZ,RT @kylegriffin1: Wyoming's governor has resisted calls for a mask mandate. Now he has the coronavirus. https://t.co/cX1SiQWX2v
1.14976E+18,MNGoose612,105,0,WrxChad,0,627,0,"Minnesota, USA",@WrxChad Mask Selfies are the dumbest shit
4105715054,kokoro_en,30,0,,0,7,0,Performing at Hakurei Shrine,"I must turn you, overflowing with hope, into my new Mask of Hope!"
1.27483E+18,sopettyandtiny,41,9260,,0,233,0,"Soft spot by your thumb, MI.","RT @Oobahs: Tried my new mask argument with a taxi driver. Wasn't wearing one &amp; was angry about mine. 'I like the anonymity,' I said. Wer"
11446452,BrimstoneRose,21,0,,0,64,0,Planet Earth,"I miss those who are not here, I cry for those I have lost but I am thankful for my mother beating The C word. I am https://t.co/6fQShRTmIP"
938925002,1stSvelteCelt,12930,0,,1,12592,43,"Gainesville, FL","They need to get on the same page, mask and sequester. https://t.co/ThqCt3t6gx"
9.18026E+17,metrodotstyle,7833,0,,0,59,10,Manila,Heres what you need to know about the new Easy Flow portable air purifier! https://t.co/wCh6PPsCKy
1.0917E+18,HAOLUVB0T,2237,291,,0,2218,39,🇿🇦 || 15 || black,"RT @lxyzen: jisung while                          the neos:
making the
mask
necklace: https://t.co/IvZhzzR0Qq"
1.33183E+18,notxuxxxi_,50,28,,0,100,0,,"RT @fullsunnflowerr: look closely,, most of them are wearing the mask necklace that chenji made for them  https://t.co/hRYHcFRGgR"
191091544,WhereDidJennyGo,718,0,WhereDidJennyGo,6,231,1,"Seattle, WA",Now the 5yo is wearing a Spider-Man mask with a Hulk t-shirt and bear claw hands. Most ambitious crossover since Av https://t.co/1nyIJXNLKf
130978693,TheRealSteveGle,651,88,,0,2595,6,"Edmonton, Alberta","RT @jasonkenney: Then wear a mask, practice physical distancing, quit going to restaurants and gyms and other peoples places like there is"
1.17907E+18,joeblowme369,465,4,,0,144,0,Space,RT @Alaricman1: What better way to display your stupidity by confirming what the powers-that-be want you to experience with their mask mand
2464863420,keithleaflets,41,748,,0,282,2,,RT @donwinslow: Florida governor Ron DeSantis accused of killing spree after extending ban on cities from imposing own mask mandates http
59946287,karybeth,741,0,KyleDHester,1,1509,7,,@KyleDHester Id say 90% here are following it and the other 10% have there mask on but nose out.
8.35805E+17,AlaizaiiMea,155,291,,0,748,1,,"RT @lxyzen: jisung while                          the neos:
making the
mask
necklace: https://t.co/IvZhzzR0Qq"
1.08916E+18,GeBu19,2506,138,,0,2551,2,"Monterrey, Nuevo León",RT @JetPhotos: Cargoluxs Not without my mask 747 landing in Luxembourg. https://t.co/c5CmqsJWbU  aerospotter.fra https://t.co/LJyl7GjA2E
163752386,jacebhw,75,0,,0,127,3,"Hopkins, MN","Yeah, you're so tough. You won't a sheep, are you? You should go to a covid unit without a mask, you know, to show https://t.co/spyt2iE165"
1.27236E+18,DenOgenesis,13,0,JenneneCoker,0,32,1,,@JenneneCoker @SantaInc @TomiLahren Also covid is really no worse than H1N1. It's about as bad as the common cold s https://t.co/jk6oXHmFJb
2825084884,ichi_ebooks,36,0,,0,2,1,,i dont wear this face mask bc im a germphobe i wear it bc im a karamatsuphobe
1.26199E+18,EmeraldDragons7,4659,0,,2,3704,0,cash.app/$AscendedVibrations,So if you go in the store with someone they wear a mask and u do not.... Nothing is said to u by anyone and u are l https://t.co/4sRfhu7BfC
2383245757,THEEHB_IC,281,0,LIBGyal,0,724,0,Unknown,@LIBGyal why I just get a text that the banana mask is restocked and then I go to the website and we still locked o https://t.co/RohV7ZrEYy
1246756999,BilalUmarMian,34,162,,0,75,1,"Karachi, Pakistan","RT @murtazawahab1: This is to inform that markets in #Sindh will remain open till 8 PM. It is again expected from the market associations,"
381639855,HomeOfPurdue,3193,0,,0,1053,56,"Greater Lafayette, Indiana","How to properly wear a mask!  #maskup #happythanksgiving

#TravelConfidently #homeofpurdue #greaterlafyaetteind https://t.co/Ksq0otbnDI"
1.17378E+18,raksssssss7,228,223,,0,265,0,puso mo yie,"RT @littlechensji: before making              after making
23 mask                          23 mask 
necklaces                       neckla"
1.32237E+18,absart21,26,0,absart21,0,116,0,planet donk,"i tried the sheet mask and i didn't remove the plastic, i was wondering why it wasn't sticking to my face (_)"
2314575817,clark_leticia,17,1986,,0,34,0,,"RT @mmpadellan: For the umpteenth time, a lockdown only works if EVERYONE participates in it and abides by social distancing, wears a mask,"
14982279,Frank_McG,1452,0,,0,1830,108,"toronto, ontario, TEH CANADAS",wearing mask cuz of the rona eh? https://t.co/Ck0eDnyD8W
2349952975,bethalviola,687,223,,0,2782,0,,"RT @littlechensji: before making              after making
23 mask                          23 mask 
necklaces                       neckla"
1.04324E+18,txguyz,141,634,,0,372,0,"Lorry-lès-Metz, France",RT @dnlrntr: wear a mask or awaken the old ones
1.03198E+18,juliewa43117224,732,2440,,0,2230,7,,"RT @DrEricDing: Florida @GovRonDeSantis Extends Ban On Cities Imposing Their Own Mask MandatesCritic Calls Move A Killing Spree. 

I. Ha"
1.26611E+18,Claire_ityy,92,0,,1,127,4,pfp by omoulo,"Puts on a face mask and gets ready for a workout later (aka looking bad) and THEN opens a Snapchat from Guitar Boy, https://t.co/B90rH9ysUW"
26940008,cnewq5,195,0,,0,270,2,Earth,"Michel's ""crime""? Not wearing a mask.
By far the most disgusting Covid Law related abuse of power I've encountered https://t.co/CRRLtZbZib"
636665694,baileygot_back,689,9260,,0,709,2,she/her,"RT @Oobahs: Tried my new mask argument with a taxi driver. Wasn't wearing one &amp; was angry about mine. 'I like the anonymity,' I said. Wer"
2431343613,cwwelt,591,191,,0,938,0,,"RT @RickChapterTwo: Its time we tax the church. If they are going to use the supreme court for decision making, then they need to pay for"
1.2618E+18,hanIvvr,468,209,,0,701,17,socal | 14 | ☆,RT @lixiezone: dont you just love felixs eye smile even when hes wearing a mask /cries/ https://t.co/NXgiBHN4Tk
1.26531E+18,JoesMegaMarket1,143,0,,0,693,1,,Because masks do not work...I got sick too wearing a mask... https://t.co/xQlZP55e3R
472521119,NavigatorVIU,655,0,,0,270,26,"Nanaimo, BC","https://t.co/pYfHwnSGfN

The Mask and Mingle event will be held at Jonnys Barber Shop located in downtown Nanaimo https://t.co/r7C2SLIr9c"
1.26682E+18,apex_pl,656,1,,8,323,2,Techno-Babylon,The one and only group with any revolutionary potential at all in the U.S. is the gun-toting rural social conservat https://t.co/RgFshv6RVC
1.17417E+18,cuteidolyume,73,882,,0,304,0,,RT @jueyun_chili: Modern AU! #Tartali loosely based on a well-known meme in Korea. I solely blame @dl_mask for putting this idea in my head
1.28131E+18,LeafGuyCarlo,325,0,GoonerJunaid,0,411,1,,@GoonerJunaid @TinaYazdani Personally we should have 2 options either let  everyone go about their business as usua https://t.co/RL2uy1OOfy
63253487,borosch,560,9260,,0,264,46,boston ,"RT @Oobahs: Tried my new mask argument with a taxi driver. Wasn't wearing one &amp; was angry about mine. 'I like the anonymity,' I said. Wer"
1085559590,rock_bernadette,3200,7,,0,3682,27, England,"RT @AndrewHegarty: I literally cannot wait for Shane Richies cheeky chappy everyones mate mask to slip. 

I can read him like a fucking"
1226055980,jakUbak2mars,93,0,KyleKashuv,1,329,0,999,"@KyleKashuv Just wear the gd mask lmao, stop trying to make a stand and put it on for everyones safety ffs"
274354293,idatroll,221,132,,0,889,9,"South Carolina, USA","RT @PattiMurin: Im not a medical professional, but Im going to assume that while they appreciate all the verbal thanks and musical tribut"
1.31028E+18,MondeMicro,110,0,MajorPatriot,12,93,0,,@MajorPatriot Why the mask?
54500183,michaelzara,84,19,,0,1000,0,"Los Angeles, California, USA",RT @LittleMissLizz: 5 years ago this week my dad almost died. I didnt know then how lucky I was to be held through it - something you can
7.79111E+17,StaySeatedPDX,36,22074,,0,228,0,"Portland, OR","RT @BarackObama: Lets all do our part this Thanksgiving to keep people safe and healthy. Celebrate virtually, if you can. Wear a mask. And"
622333074,sundaymtwtfs,58,292,,0,46,1,,RT @DopeDyl: such a different thanksgiving this year... my heart is with all those who might have an empty chair at the table this year due
24533660,afraidformyus,3121,1986,,0,4721,2,"Florida, USA","RT @mmpadellan: For the umpteenth time, a lockdown only works if EVERYONE participates in it and abides by social distancing, wears a mask,"
35703629,CamiAnnS,2590,0,KayKEELY,0,1484,18,"Los Angeles, CA",@KayKEELY @MilwaukeeForev1 @mel_med_larson @yashar They are saying that wearing a mask is worth saving someones life.
